n;subno;id;status
1;1;fccf56fd771d46aca95cb0efc4847d64;partial
1;counts;inside=0;outside=0;partial=1
2;1;20eb8f2874e845fe9eaff798b1b496fd;partial
2;2;6be05eb09d9c4ee6968a12b0e4c8204b;partial
2;3;a24e01565c964a06a764922a0b876a10;inside
2;4;112150374f66400cb4d67b774a4c47cf;inside
2;counts;inside=2;outside=0;partial=2
4;1;799d1321eda247e283b520dcca5c9283;outside
4;2;74b555d1d22a418c9adeae7286d4f6f9;outside
4;3;8a3823b47c3e4b679e0fd191171fc291;outside
4;4;5e6ef536a899413ca8f794e0abf19863;outside
4;5;cccab6942a8a4f139f930e350c758756;partial
4;6;c68c29eb94554f939600b8f6f6b49c09;partial
4;7;8eb2f2473cc44e84a2ee87ffca0b7ed4;partial
4;8;be9e9e63c40d4b75bf120654a8ebdbbf;partial
4;9;c574f7ec41c9486cb954436489f94926;inside
4;10;ec2e6b88be474b908aa5ffd5b34ab1cd;inside
4;11;1cef28e024bd41979e1bbd3b67bc3e89;inside
4;12;d1822c432c9c45498df2765d8b0bed22;inside
4;13;16363ecde36248d9bc66ede13ad8e6f3;inside
4;14;aad9c75b24cb458a82711705e1e08292;inside
4;15;d56cb95c457e4ae98d0292e298bb3e3f;inside
4;16;c56b1848d1654207b75009b6f6d08718;inside
4;counts;inside=8;outside=4;partial=4
8;1;c4284cb376fd4aa59ab511e66868d251;outside
8;2;61e2d3c10d764d468f7140a2b1aede7c;outside
8;3;f8d93b90b00b40d9b065de2c0fbaeaca;outside
8;4;ba1c17265a7a4966b18fdf3e484d1e2f;outside
8;5;efdda36507704b8a95d4a32fff29dac8;outside
8;6;3ac2f66fcc8146269629567ea69d1d04;outside
8;7;9bb296e899ae41f9b5530f0f137461d8;outside
8;8;3eea80fd65a441eeb0aed1455b7a95f7;outside
8;9;6148e62836914d5caacbd93eb487089f;outside
8;10;252f15194e51407ebfab895d8719bb60;outside
8;11;ab48cc6fd4fe4a848398fcb10328306c;outside
8;12;49fbf9ad6d3148d486514383ca4dc57d;outside
8;13;0a1d624c59574cc9b57ccd31beeba524;outside
8;14;cee732aca65c4a979fc0c2b45d3e2a9d;outside
8;15;1a6ead14ee7f4f78a07d54928626f4db;outside
8;16;056740abf8e9418faf961f9d2520bb6f;outside
8;17;4fbd9a9c5f2c454a91b9f3e19f029ca0;outside
8;18;ebf97384af7245f6ba774724deeb64f9;outside
8;19;f3f0022d7e1c45e0b6ffdc84070b0744;outside
8;20;e69ac53756044911945e573c220f9eed;outside
8;21;e2c3dce4589d4f6c9075413e01cd4889;outside
8;22;2bba48a9708645cc895e92b1f123bec2;outside
8;23;6e68fc015be84cc7bbe4e35372611e6e;outside
8;24;13c7429d2b2a4cc28426f0fcf20d9278;outside
8;25;48d86d062e884bf78eff719e2bfffe54;partial
8;26;7a26f109b5714172a33cd1a2f9deb474;partial
8;27;8d763d3c04684d1d8e9f9bd337d8b96e;partial
8;28;e9e6537aaa3542dba58dfa8f7c57bb42;partial
8;29;0e0142e5e6af45f1ad4308f326c8728f;partial
8;30;ae27adebc4bc48bd89002e92d3d45743;partial
8;31;cfd56aeeb1c64d71aa083248497f68a0;partial
8;32;0c8fbd2eb87f4a51b328f34e7ed21d36;partial
8;33;84d3171c1eef44b2abae6ce847403ca3;inside
8;34;2e221f65ad9f4782b76879bf85356cd5;inside
8;35;033916c5efac4905916b0532883143b2;inside
8;36;7a245e2acc924dc9868b45891a7d8488;inside
8;37;72bb47dd681546d8ab4802dbfe0535d8;inside
8;38;370d29dec33c44e59b0adc174075ed0d;inside
8;39;d1cfcf1a550849649b00770324d95b5b;inside
8;40;8fcb0e4065aa4e4d8c6fb7901ed6f87a;inside
8;41;f61e42c2747a447f8a25cbd8ef42090d;inside
8;42;ab3e015375dd4b6b8cbf204a2df0cd63;inside
8;43;586287136b0f4902bb9be91967e8b71d;inside
8;44;93c36e7a21974dbe9a7274b70758f52e;inside
8;45;b8e29c20fcbb45499f8756e68c7109bb;inside
8;46;6a3f1a1a5e2f4695aaf22b3c9a093c38;inside
8;47;e55293f77b14491ba24ba363ec748aef;inside
8;48;a6b534c8cb154736a2a4f8b6c545b502;inside
8;49;848c6c43ad7549978b3ba2f00af0e804;inside
8;50;f4e0136a6fce4dffa5c91976bd027dcf;inside
8;51;2037f26822ba4f0e9777da1e0a76a08d;inside
8;52;f196519d5b904015a98b833716d0d958;inside
8;53;1a05f73dbb23435fba36d2b819923152;inside
8;54;827a72f39d18402fb5ead9838093cf20;inside
8;55;f71492031b9e4d909f02b2485d000fee;inside
8;56;b1bfb96124af4646b8c525c100074dd8;inside
8;57;e6cae815b0da421482f7eef29d6936e9;inside
8;58;6041fdb49c0f42e093880a7f317e1179;inside
8;59;8a87f508a32c46abbe921f5568586223;inside
8;60;4d6ec1f0b18541f29367be54bb6215c0;inside
8;61;6d56dc0dc0394f55af73fee0f6214615;inside
8;62;e50b8858f808468689c3bdddb926eb07;inside
8;63;c04e180acecf4489837b131043d6850f;inside
8;64;bf88aa5dfe2f4e0b9778fba2cd58d0df;inside
8;counts;inside=32;outside=24;partial=8
