1;fccf56fd771d46aca95cb0efc4847d64;0,0,1,1;0,1,0,1;-0.11769,-0.56894999999999996,-0.018251,0.0072423000000000001
2;20eb8f2874e845fe9eaff798b1b496fd;0,0,1,1;0,1,0,1;0.17772107499999998,-0.28628557499999996,-0.010936075,0.001810575
3;6be05eb09d9c4ee6968a12b0e4c8204b;0,0,1,1;0,1,0,1;0.15584892499999997,-0.282664425,-0.010936075,0.001810575
4;cccab6942a8a4f139f930e350c758756;0,0,1,1;0,1,0,1;0.039593681249999985,-0.14359543124999999,-0.0050153937499999995,0.00045264375000000001
5;c68c29eb94554f939600b8f6f6b49c09;0,0,1,1;0,1,0,1;0.029562893749999989,-0.14269014375,-0.0050153937499999995,0.00045264375000000001
6;8eb2f2473cc44e84a2ee87ffca0b7ed4;0,0,1,1;0,1,0,1;0.019532106249999983,-0.14178485624999998,-0.0050153937499999995,0.00045264375000000001
7;be9e9e63c40d4b75bf120654a8ebdbbf;0,0,1,1;0,1,0,1;0.0095013187499999874,-0.14087956874999999,-0.0050153937499999995,0.00045264375000000001
8;48d86d062e884bf78eff719e2bfffe54;0,0,1,1;0,1,0,1;-0.029809498437500009,-0.07191087656249999,-0.0023945359375000001,0.0001131609375
9;7a26f109b5714172a33cd1a2f9deb474;0,0,1,1;0,1,0,1;-0.034598570312500014,-0.071684554687499999,-0.0023945359375000001,0.0001131609375
10;8d763d3c04684d1d8e9f9bd337d8b96e;0,0,1,1;0,1,0,1;-0.039387642187500016,-0.071458232812499994,-0.0023945359375000001,0.0001131609375
11;e9e6537aaa3542dba58dfa8f7c57bb42;0,0,1,1;0,1,0,1;-0.044176714062500004,-0.07123191093749999,-0.0023945359375000001,0.0001131609375
12;0e0142e5e6af45f1ad4308f326c8728f;0,0,1,1;0,1,0,1;-0.048965785937500013,-0.071005589062499999,-0.0023945359375000001,0.0001131609375
13;ae27adebc4bc48bd89002e92d3d45743;0,0,1,1;0,1,0,1;-0.053754857812500001,-0.070779267187499995,-0.0023945359375000001,0.0001131609375
14;cfd56aeeb1c64d71aa083248497f68a0;0,0,1,1;0,1,0,1;-0.058543929687500003,-0.07055294531249999,-0.0023945359375000001,0.0001131609375
15;0c8fbd2eb87f4a51b328f34e7ed21d36;0,0,1,1;0,1,0,1;-0.063333001562500005,-0.070326623437499999,-0.0023945359375000001,0.0001131609375
