number;id;xscales;yscales
11;372a56cac67dbaa6ce4091cd1fdc1159;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.41991951287169477,0.44121957017010166,0.48013510260623554,0.5369628201373478,0.6101453700408753,0.6935630915194205,0.7735771072315061,0.8294889998114924
12;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605;0.009051282596696927,0.044818162305257515,0.09916187238007493,0.16018654491998627,0.21782130361668364,0.26550093632613553,0.2997547815188079,0.31908856868984253
13;e4666d7885f2f45be9f58617a3839c55;0.6112425896079019,0.5876890824163542,0.5431255321742157,0.4742411549402182,0.3781512686123591,0.25702650099915714,0.127272939702637,0.027429197631209063;0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051
14;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3120690070850749,0.2930238069032198,0.2593248386087646,0.2125100992332553,0.15606410561509607,0.09646837707227439,0.04354397316620477,0.008786417903321546;0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593
15;c7a14376ff2627413a7afdb816ee5572;0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546;0.019501823735625923,0.09295051100860297,0.1945902415659563,0.2964302503510092,0.3825004239634682,0.44732884794780325,0.4907503479281364,0.5141907235495731
16;a17c9d2e4ea7cce7a03918940cb72d87;0.12648997440076,0.11700721830698319,0.10090042591122246,0.079846172488426,0.05630663133741849,0.03340294893576444,0.014556707720898588,0.0028721439565873143;0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331
17;d867dcf7063faaeb15b41bc2985ce00b;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.413037913588837,0.4102605665455686,0.4056330304474276,0.3997488625266315,0.39338153747432897,0.3873901994128262,0.3826042394214845,0.37969983742753133
18;0a96c8d6dc0ed2d3d4032f3df7e72eef;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.586962086411163,0.5897394334544314,0.5943669695525724,0.6002511374733683,0.6066184625256709,0.6126098005871737,0.6173957605785154,0.6203001625724687
19;1917fa1202fd8f18b45641f183544c2f;0.00670877521213326,0.0335705914011038,0.07549001030416182,0.12422658302256012,0.17195905671954523,0.21276320593735729,0.24284621501484577,0.2601188667403633;0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201
20;8975ef7df607253689476eae7028baf9;0.04521389372655404,0.19818451864969167,0.37337841839553215,0.5169561758158193,0.6193567003967857,0.6873098204191093,0.7290685817263539,0.7504825964983141;0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053
21;96ddb7ad56e07aa198b48366f12c121a;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.8049908055198136,0.757141365465809,0.6810589094373971,0.5903711832728852,0.49913447400613914,0.419169801570612,0.35901243938692107,0.3239988595783583
22;1ebda8d24d83ec4312619f4fe54d034f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.19500919448018636,0.2428586345341909,0.3189410905626028,0.40962881672711465,0.5008655259938608,0.5808301984293879,0.6409875606130789,0.6760011404216416
23;9e71237cdf2f4382f6a710dd85355af3;0.003023184373177908,0.01538332508093571,0.035528312168262625,0.060364269882509806,0.08630358962689227,0.10986811542970687,0.12813224322574043,0.13898276502328533;0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526
24;f98c6489e96a73c08ba73e4e2c799a2f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.5267999530641226,0.5045840839871447,0.46377617967922863,0.4036708121463485,0.3253542596954541,0.23480643185185937,0.14664595861246912,0.08426633347847617
25;c911783c6f928ba623f2b30bcbf7db83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.4732000469358774,0.49541591601285523,0.5362238203207712,0.5963291878536514,0.6746457403045457,0.7651935681481405,0.8533540413875309,0.9157336665215239
26;f5f6edafb4b092756eb6acc36ead3b95;0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926;0.002669132970260868,0.014086999079481504,0.03463430066416184,0.06393265577509732,0.10047788467821471,0.1405893804412946,0.17760276068264616,0.20266022800209996
27;20d5b2348ee91b6b3810e5cf0f4ce92d;0.462047878739828,0.4401192311849903,0.3997246268536425,0.33995696182459717,0.26159206715170163,0.17029235899266512,0.08067426989550508,0.016826041942564436;0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547
28;b37cb180d2e68189e6fbde47a6798268;0.054711780794820135,0.0503118270183518,0.042956040846999985,0.03355788020595054,0.0233309934004999,0.013653413238546762,0.005884510343278172,0.0011531828785804736;0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415
29;884353989b8bb9c30d609ebddf84f980;0.38617814306344,0.3663192703147901,0.33288080932678116,0.28971776459526777,0.24217813001818592,0.19663442165498338,0.15967406133996861,0.13698832504465838;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
30;b4a23d916a4dea7cca2f852d9be8ae34;0.61382185693656,0.6336807296852098,0.6671191906732188,0.7102822354047321,0.757821869981814,0.8033655783450165,0.8403259386600314,0.8630116749553416;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
31;a2b50c81e5a508d1e458af5b888a0b93;0.6209704287806918,0.5964871156200637,0.5517862509051048,0.4865810882476839,0.40273363078012675,0.30732863606403626,0.2159853968910965,0.1522548470850336;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
