1;f9d8817cd5c4482abf01d2a013c4fd37;0,0,1,1;0,1,0,1;0.17772107499999998,-0.28628557499999996,-0.010936075,0.001810575
2;6cb10a4ca15b4b04b89393d35a98a662;0,0,1,1;0,1,0,1;0.15584892499999997,-0.282664425,-0.010936075,0.001810575
3;d795aa735b1e4fe7a9ebc0be693cfdac;0,0,1,1;0,1,0,1;0.039593681249999985,-0.14359543124999999,-0.0050153937499999995,0.00045264375000000001
4;92088ed9e9aa4a75921643a7c0176d71;0,0,1,1;0,1,0,1;0.029562893749999989,-0.14269014375,-0.0050153937499999995,0.00045264375000000001
5;b4fd790e028446e885ab0c04cdf6d8ab;0,0,1,1;0,1,0,1;0.019532106249999983,-0.14178485624999998,-0.0050153937499999995,0.00045264375000000001
6;b19c93b31f604747b0b26c36c430c45d;0,0,1,1;0,1,0,1;0.0095013187499999874,-0.14087956874999999,-0.0050153937499999995,0.00045264375000000001
7;85acee110d9149a8ba93c1825dff6305;0,0,1,1;0,1,0,1;-0.029809498437500009,-0.07191087656249999,-0.0023945359375000001,0.0001131609375
8;a6ffed3b55a04dc7aa39e45347824a5d;0,0,1,1;0,1,0,1;-0.034598570312500014,-0.071684554687499999,-0.0023945359375000001,0.0001131609375
9;a2f6135ef57b4e0792904d0b80644e6c;0,0,1,1;0,1,0,1;-0.039387642187500016,-0.071458232812499994,-0.0023945359375000001,0.0001131609375
10;78001c5784924806a5b369e63f3db19b;0,0,1,1;0,1,0,1;-0.044176714062500004,-0.07123191093749999,-0.0023945359375000001,0.0001131609375
11;934d531afbd1465b8bcb21dab75073f6;0,0,1,1;0,1,0,1;-0.048965785937500013,-0.071005589062499999,-0.0023945359375000001,0.0001131609375
12;bd4fe8f95163496ab4b90501b9f27059;0,0,1,1;0,1,0,1;-0.053754857812500001,-0.070779267187499995,-0.0023945359375000001,0.0001131609375
13;09c61699207e4fff8f3ccdeaed00232f;0,0,1,1;0,1,0,1;-0.058543929687500003,-0.07055294531249999,-0.0023945359375000001,0.0001131609375
14;b2641e5d45504cae82b9fc3488c9f3b7;0,0,1,1;0,1,0,1;-0.063333001562500005,-0.070326623437499999,-0.0023945359375000001,0.0001131609375
