n;h=2/n;total_area;true_area;relative_error
1;2.0000000000000000e+00;2.4185018986183144000000000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;1.8632271613572742e-03
2;1.0000000000000000e+00;2.4102205373622805000000000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;1.5673226835690810e-03
4;5.0000000000000000e-01;2.4135479421276865937500000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;1.8894688893095814e-04
8;2.5000000000000000e-01;2.4150240993522345359375000000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;4.2255051846328489e-04
16;1.2500000000000000e-01;2.4141123127888183542968750000000000000000000000000000000000000000;2.4140040606848196903005307892891067380626797297668046557215325479;4.4843381070350958e-05
