n;subno;id;status;area
1;1;e83fd0c278dd467b92f04386fa4f3666;partial;2.4185018986183144000000000000000000000000000000000000000000000000
2;1;c2e2a7278a7f4ac6ae2677052ac69494;partial;0.1868017402820996250000000000000000000000000000000000000000000000
2;2;d514f918fa0940a8a680fd5f12c40723;partial;0.2234187970801808750000000000000000000000000000000000000000000000
2;3;6e6305a68d69447eb0568d0057194931;inside;1.0000000000000000000000000000000000000000000000000000000000000000
2;4;26c614ff1e28490ead17b5cb2196df1c;inside;1.0000000000000000000000000000000000000000000000000000000000000000
4;5;be19d0f453a94b929c2a3cd459e9e3fc;partial;0.0898123770960134437500000000000000000000000000000000000000000000
4;6;f0f399f0a55a485abc6e5237851d5483;partial;0.0987566606941786437500000000000000000000000000000000000000000000
4;7;4153b75a819744149baf4b684a524702;partial;0.1079245645478953937500000000000000000000000000000000000000000000
4;8;cd9004f60b344c6a8d8a16e214ea2e88;partial;0.1170543397895991125000000000000000000000000000000000000000000000
4;9;353935e6be2744cc9fd5a47244c697a0;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;10;2af463663d974d3a879239d86881553b;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;11;1114f95845324b1087c4352754b4f6be;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;12;51a903b27b144653ae97f52ef9304190;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;13;19a138affed44c359fe77a3cfa55ff8d;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;14;42ebd12fa566403fbdd83c6fbc1d89ec;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;15;b9bfb60e0f3649f29ae0d7c5fd112651;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;16;f5f74580a75d41f6a9ca8aa2d90d5e77;inside;0.2500000000000000000000000000000000000000000000000000000000000000
8;25;e72bd7adcc8b4821a478bb3ce027f843;partial;0.0442667251397345937500000000000000000000000000000000000000000000
8;26;c3420555fa7c4c2a8a7b6ba08b114729;partial;0.0461036508088808406250000000000000000000000000000000000000000000
8;27;39dc1cedfe334772a1c85bea74de5e6a;partial;0.0484533036474343593750000000000000000000000000000000000000000000
8;28;0c3516a301e047f6b4e3c9f1d5797f7c;partial;0.0508576324093383968750000000000000000000000000000000000000000000
8;29;b04a7e0644da4122aa668abf92fec077;partial;0.0527280654860503359375000000000000000000000000000000000000000000
8;30;fa3737e076934093a91df084c77205de;partial;0.0553121321337747140625000000000000000000000000000000000000000000
8;31;6f2ead1d86494728915f82538017fbe4;partial;0.0572174836685149578125000000000000000000000000000000000000000000
8;32;8318289c491549bdb6fcdbcfaccf4cf2;partial;0.0600851060585063375000000000000000000000000000000000000000000000
8;33;40f4314275d24069bb6cac23602e83dd;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;34;ce322bbe6caf4a98bb3f2c78e157d7b2;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;35;13d10bf92ffe42ffae63d4fe2fb097d5;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;36;62d5c53eae124ed0b901c95f45621398;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;37;0a3ad7ccc36c434fb20daf86c8728db6;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;38;31de062aaa90445b80f5556fe804cf10;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;39;9f75067f8b4742f899922eb1ac28b1b2;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;40;e35435af1e89451ba2d13356bde5a787;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;41;4ab86d84f9f54fb9a5b6407e08fa7508;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;42;bb8e5e46eae244aea84b6bd7d546e628;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;43;1f71aa83bfa84504a9bbdd4c60cd5360;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;44;a099a548c48b47c49152c5dd743ea786;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;45;3c64c2d121734994a866bd69c2a33f15;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;46;f3ea85be8ce048cd908e7ad3e1b81a57;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;47;e3fec99ddfd541ceb5469ec1cd529465;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;48;a16dc1a062134d4d89fae006ee8247f1;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;49;f64fbf8ef3a444fc8c8be5719e0ac23a;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;50;def9b898f3e64fadb9440ab4f22c6039;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;51;a5cb5778677d4c2ea7d63d3890703ae3;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;52;93e6216d29a444b39baac3c2ee81784b;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;53;84f22cba58d84cf38e03508fffeed25f;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;54;09785786532b494e84efaf94c1c51b24;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;55;12eccc5778124cc19a4ee1892aa4b698;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;56;564bbd21350540e08d3736b2d590097f;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;57;9d5d696bdb264ca68febfb4911fbf940;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;58;7c5f069920ae459581b6ad10f027b89b;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;59;086b766286b842c5a0779dacd338c3a3;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;60;71de8dc28a1e491ca446467cb69594e6;inside;0.0625000000000000000000000000000000000000000000000000000000000000
