n;subno;id;status;area
1;1;fccf56fd771d46aca95cb0efc4847d64;partial;2.4146581877088570000000000000000000000000000000000000000000000000
2;1;20eb8f2874e845fe9eaff798b1b496fd;partial;0.1891390846943800000000000000000000000000000000000000000000000000
2;2;6be05eb09d9c4ee6968a12b0e4c8204b;partial;0.2230485290523819250000000000000000000000000000000000000000000000
2;3;a24e01565c964a06a764922a0b876a10;inside;1.0000000000000000000000000000000000000000000000000000000000000000
2;4;112150374f66400cb4d67b774a4c47cf;inside;1.0000000000000000000000000000000000000000000000000000000000000000
4;5;cccab6942a8a4f139f930e350c758756;partial;0.0904924352444696500000000000000000000000000000000000000000000000
4;6;c68c29eb94554f939600b8f6f6b49c09;partial;0.0991715671780347687500000000000000000000000000000000000000000000
4;7;8eb2f2473cc44e84a2ee87ffca0b7ed4;partial;0.1079408378235189562500000000000000000000000000000000000000000000
4;8;be9e9e63c40d4b75bf120654a8ebdbbf;partial;0.1167179660127672937500000000000000000000000000000000000000000000
4;9;c574f7ec41c9486cb954436489f94926;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;10;ec2e6b88be474b908aa5ffd5b34ab1cd;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;11;1cef28e024bd41979e1bbd3b67bc3e89;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;12;d1822c432c9c45498df2765d8b0bed22;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;13;16363ecde36248d9bc66ede13ad8e6f3;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;14;aad9c75b24cb458a82711705e1e08292;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;15;d56cb95c457e4ae98d0292e298bb3e3f;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;16;c56b1848d1654207b75009b6f6d08718;inside;0.2500000000000000000000000000000000000000000000000000000000000000
8;25;48d86d062e884bf78eff719e2bfffe54;partial;0.0442264702399396140625000000000000000000000000000000000000000000
8;26;7a26f109b5714172a33cd1a2f9deb474;partial;0.0466251149013815062500000000000000000000000000000000000000000000
8;27;8d763d3c04684d1d8e9f9bd337d8b96e;partial;0.0485186332745181156250000000000000000000000000000000000000000000
8;28;e9e6537aaa3542dba58dfa8f7c57bb42;partial;0.0505240476225238328125000000000000000000000000000000000000000000
8;29;0e0142e5e6af45f1ad4308f326c8728f;partial;0.0528263879608156171875000000000000000000000000000000000000000000
8;30;ae27adebc4bc48bd89002e92d3d45743;partial;0.0554180646086461921875000000000000000000000000000000000000000000
8;31;cfd56aeeb1c64d71aa083248497f68a0;partial;0.0577564118555169843750000000000000000000000000000000000000000000
8;32;0c8fbd2eb87f4a51b328f34e7ed21d36;partial;0.0604042620527557312500000000000000000000000000000000000000000000
