number;id;xscales;yscales;xcenters;ycenters
24;f98c6489e96a73c08ba73e4e2c799a2f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.5267999530641226,0.5045840839871447,0.46377617967922863,0.4036708121463485,0.3253542596954541,0.23480643185185937,0.14664595861246912,0.08426633347847617;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.4732000469358774,-0.4954159160128553,-0.5362238203207713,-0.5963291878536515,-0.6746457403045458,-0.7651935681481407,-0.8533540413875309,-0.9157336665215239
25;c911783c6f928ba623f2b30bcbf7db83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.4732000469358774,0.49541591601285523,0.5362238203207712,0.5963291878536514,0.6746457403045457,0.7651935681481405,0.8533540413875309,0.9157336665215239;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.5267999530641226,0.5045840839871446,0.46377617967922863,0.4036708121463485,0.3253542596954542,0.2348064318518594,0.14664595861246915,0.08426633347847617
26;f5f6edafb4b092756eb6acc36ead3b95;0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926;0.002669132970260868,0.014086999079481504,0.03463430066416184,0.06393265577509732,0.10047788467821471,0.1405893804412946,0.17760276068264616,0.20266022800209996;0.43060259826280756,0.43060259826280756,0.43060259826280756,0.43060259826280756,0.43060259826280756,0.43060259826280756,0.43060259826280756,0.43060259826280756;0.9973308670297392,0.9859130009205185,0.965365699335838,0.9360673442249027,0.8995221153217853,0.8594106195587055,0.8223972393173539,0.7973397719979
27;20d5b2348ee91b6b3810e5cf0f4ce92d;0.462047878739828,0.4401192311849903,0.3997246268536425,0.33995696182459717,0.26159206715170163,0.17029235899266512,0.08067426989550508,0.016826041942564436;0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547;-0.537952121260172,-0.5598807688150097,-0.6002753731463574,-0.6600430381754028,-0.7384079328482983,-0.829707641007335,-0.919325730104495,-0.9831739580574355;-0.29465237004964523,-0.29465237004964523,-0.29465237004964523,-0.29465237004964523,-0.29465237004964523,-0.29465237004964523,-0.29465237004964523,-0.29465237004964523
28;b37cb180d2e68189e6fbde47a6798268;0.054711780794820135,0.0503118270183518,0.042956040846999985,0.03355788020595054,0.0233309934004999,0.013653413238546762,0.005884510343278172,0.0011531828785804736;0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415;-0.9452882192051799,-0.9496881729816482,-0.957043959153,-0.9664421197940494,-0.9766690065995001,-0.9863465867614533,-0.9941154896567218,-0.9988468171214195;-0.8346358726706359,-0.8346358726706359,-0.8346358726706359,-0.8346358726706359,-0.8346358726706359,-0.8346358726706359,-0.8346358726706359,-0.8346358726706359
29;884353989b8bb9c30d609ebddf84f980;0.38617814306344,0.3663192703147901,0.33288080932678116,0.28971776459526777,0.24217813001818592,0.19663442165498338,0.15967406133996861,0.13698832504465838;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.61382185693656,-0.6336807296852098,-0.6671191906732188,-0.7102822354047322,-0.7578218699818141,-0.8033655783450167,-0.8403259386600315,-0.8630116749553416;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30;b4a23d916a4dea7cca2f852d9be8ae34;0.61382185693656,0.6336807296852098,0.6671191906732188,0.7102822354047321,0.757821869981814,0.8033655783450165,0.8403259386600314,0.8630116749553416;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.38617814306344,0.36631927031479,0.33288080932678127,0.28971776459526777,0.24217813001818592,0.19663442165498335,0.15967406133996864,0.1369883250446584;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31;a2b50c81e5a508d1e458af5b888a0b93;0.6209704287806918,0.5964871156200637,0.5517862509051048,0.4865810882476839,0.40273363078012675,0.30732863606403626,0.2159853968910965,0.1522548470850336;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.3790295712193083,-0.4035128843799363,-0.44821374909489514,-0.513418911752316,-0.5972663692198733,-0.6926713639359637,-0.7840146031089035,-0.8477451529149664;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32;164c47bbcbd5b04286fb328de5856aca;0.37902957121930825,0.40351288437993627,0.44821374909489503,0.5134189117523159,0.5972663692198732,0.6926713639359637,0.7840146031089035,0.8477451529149664;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6209704287806918,0.5964871156200637,0.5517862509051048,0.4865810882476839,0.4027336307801267,0.30732863606403626,0.21598539689109642,0.15225484708503356;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33;cf81ff07d517b6afd7502217312e91bf;0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727;0.2805611396328135,0.26069202228686594,0.2265319960572432,0.18108022444788816,0.12915962992016902,0.07748603446596397,0.034084080266416635,0.0067643265796605186;-0.25443640635627296,-0.25443640635627296,-0.25443640635627296,-0.25443640635627296,-0.25443640635627296,-0.25443640635627296,-0.25443640635627296,-0.25443640635627296;-0.7194388603671865,-0.7393079777131341,-0.7734680039427568,-0.8189197755521118,-0.870840370079831,-0.922513965534036,-0.9659159197335834,-0.9932356734203395
34;a7442cb5ceb788b85f4541265c2d9228;0.4099881494399005,0.3858512943323772,0.3428702670447606,0.28257537983000347,0.2089553790435826,0.13011310394834652,0.0591170535681878,0.011980574060295412;0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016;-0.5900118505600995,-0.6141487056676228,-0.6571297329552394,-0.7174246201699965,-0.7910446209564174,-0.8698868960516535,-0.9408829464318123,-0.9880194259397046;-0.5187792253256983,-0.5187792253256983,-0.5187792253256983,-0.5187792253256983,-0.5187792253256983,-0.5187792253256983,-0.5187792253256983,-0.5187792253256983
35;50ba9f665df9dd61c85ab87c0f7bf910;0.018504164294402378,0.0889006262253357,0.1881942414797367,0.289937295901029,0.37774182087909497,0.44500658986367136,0.4906149000862575,0.5154236148707607;0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932;0.9814958357055977,0.9110993737746643,0.8118057585202633,0.710062704098971,0.622258179120905,0.5549934101363286,0.5093850999137425,0.4845763851292392;0.3869471474368067,0.3869471474368067,0.3869471474368067,0.3869471474368067,0.3869471474368067,0.3869471474368067,0.3869471474368067,0.3869471474368067
36;b566ef510113cd647bad3bc145e84e77;0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168;0.013451643193669392,0.06700698157993758,0.1496209452257168,0.24422427306459193,0.3354061213847559,0.4122237670646221,0.46820415950084165,0.5000990687449457;0.19517958412098307,0.19517958412098307,0.19517958412098307,0.19517958412098307,0.19517958412098307,0.19517958412098307,0.19517958412098307,0.19517958412098307;0.9865483568063306,0.9329930184200623,0.8503790547742832,0.755775726935408,0.6645938786152439,0.5877762329353778,0.5317958404991583,0.4999009312550543
37;20c52bcb181589ad95c5f4b024558c61;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9259121867840073,0.826590732473984,0.7012648633124896,0.5879302495031167,0.5004248939680537,0.4389579857260997,0.3997408114846881,0.37918401546743863;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.07408781321599273,-0.173409267526016,-0.2987351366875103,-0.4120697504968832,-0.4995751060319463,-0.5610420142739003,-0.6002591885153119,-0.6208159845325614
38;d7a5d6837f9c315aba8a4e349885aa83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.07408781321599268,0.17340926752601596,0.2987351366875102,0.41206975049688316,0.4995751060319462,0.5610420142739002,0.6002591885153118,0.6208159845325613;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.9259121867840073,0.8265907324739841,0.7012648633124897,0.5879302495031168,0.5004248939680537,0.4389579857260996,0.3997408114846882,0.3791840154674386
39;56f06f7505611158c3d6ffe66ef4d247;0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757;0.059945296425287044,0.25164170227887084,0.45218541012338515,0.6032246029874653,0.7043839315268564,0.7687279147943437,0.8072227587222293,0.8266638789862975;0.08919152431942429,0.08919152431942429,0.08919152431942429,0.08919152431942429,0.08919152431942429,0.08919152431942429,0.08919152431942429,0.08919152431942429;0.9400547035747129,0.7483582977211292,0.5478145898766148,0.39677539701253456,0.29561606847314353,0.23127208520565617,0.19277724127777068,0.17333612101370244
40;a61fbc94b09baa0da2458d866f5caf64;0.7751942326900382,0.7118337791477749,0.6063121264178024,0.47222158040979295,0.327229112927659,0.19090118251295796,0.08207217531546553,0.01605928888669424;0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579;-0.22480576730996188,-0.288166220852225,-0.3936878735821976,-0.527778419590207,-0.672770887072341,-0.8090988174870422,-0.9179278246845344,-0.9839407111133058;-0.14577678375544206,-0.14577678375544206,-0.14577678375544206,-0.14577678375544206,-0.14577678375544206,-0.14577678375544206,-0.14577678375544206,-0.14577678375544206
41;22be186f872f8cbaa523d21050dfa51f;0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174;0.5152956234141383,0.4921907822449759,0.44929489964024377,0.3850183066286526,0.2992468863668275,0.19711559550709853,0.0944814867368537,0.01987255577981143;-0.42285191277782586,-0.42285191277782586,-0.42285191277782586,-0.42285191277782586,-0.42285191277782586,-0.42285191277782586,-0.42285191277782586,-0.42285191277782586;-0.48470437658586174,-0.5078092177550241,-0.5507051003597562,-0.6149816933713473,-0.7007531136331725,-0.8028844044929014,-0.9055185132631463,-0.9801274442201886
42;cee371bd98b2759b60b742397718d489;0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702;0.40039045740581436,0.3726989223880564,0.32485848775551623,0.2607458409400342,0.18686046171226492,0.11263106609139627,0.04974056615107973,0.009896295701857525;-0.5754037562318298,-0.5754037562318298,-0.5754037562318298,-0.5754037562318298,-0.5754037562318298,-0.5754037562318298,-0.5754037562318298,-0.5754037562318298;-0.5996095425941856,-0.6273010776119436,-0.6751415122444837,-0.7392541590599657,-0.8131395382877351,-0.8873689339086037,-0.9502594338489203,-0.9901037042981424
43;bef983a4bb967c19d064e580e7e4f008;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9134654159740251,0.8849959984708078,0.8344710862634206,0.7639606362072949,0.6784436545145965,0.5875555914493584,0.5063208694364281,0.4527019474329395;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.08653458402597486,-0.1150040015291921,-0.16552891373657924,-0.23603936379270501,-0.32155634548540346,-0.4124444085506416,-0.49367913056357193,-0.5472980525670605
44;4c76c6cf13eb7b9956a657e8f737021d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.08653458402597483,0.11500400152919206,0.16552891373657927,0.23603936379270496,0.32155634548540335,0.41244440855064146,0.4936791305635718,0.5472980525670604;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.9134654159740252,0.8849959984708079,0.8344710862634206,0.763960636207295,0.6784436545145967,0.5875555914493583,0.5063208694364281,0.45270194743293957
45;0333c0a570ca9f1991e19402f3694915;0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133;0.021115486690392333,0.10419795947283246,0.22935175328851307,0.36836045618092317,0.49818385001814247,0.6045253769050172,0.6803393979262349,0.7229174841738003;0.1007472420989865,0.1007472420989865,0.1007472420989865,0.1007472420989865,0.1007472420989865,0.1007472420989865,0.1007472420989865,0.1007472420989865;0.9788845133096076,0.8958020405271676,0.7706482467114868,0.6316395438190768,0.5018161499818575,0.3954746230949828,0.319660602073765,0.2770825158261997
46;c9c7dd96d96975131667adc5f0bd2d26;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.7496756394510746,0.7237506225673701,0.6767133525196085,0.6087772849476957,0.5225787543471282,0.42605244827442346,0.3351487580550034,0.27258239043971555;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.25032436054892526,-0.2762493774326298,-0.3232866474803915,-0.3912227150523042,-0.47742124565287186,-0.5739475517255765,-0.6648512419449966,-0.7274176095602845
